"city_id","city_name","city_alternate_name","city_lat","city_lng"
"2037335","Fuyu","Fuyu","45.18333","124.81667"
"2037345","Fuxin","Fuxin","42.05889","121.74500"
"2037346","Fuxin","Fuxin","42.01556","121.65889"
"2037355","Fushun","Fushun","41.85583","123.92333"
"2037370","Fuli","Fuli","46.72167","131.13944"
"2037375","Fujin","Fujin","47.26000","132.03222"
"2037391","Beichengqu","Beichengqu","40.43944","113.15361"
"2037393","Fengxiang","Fengxiang","47.57549","130.82306"
"2037411","Fengcheng","Fengcheng","40.45361","124.07167"
"2037485","Erenhot","Erenhot","43.64750","111.97667"
"2037494","Erdaojiang","Erdaojiang","41.77639","126.03194"
"2037534","Dunhua","Dunhua","43.37250","128.24250"
"2037611","Dongning","Dongning","44.06219","131.12075"
"2037620","Dongling","Dongling","41.81444","123.57583"
"2037658","Dongfeng","Dongfeng","42.64031","125.51176"
"2037685","Dongxing","Dongxing","45.36088","130.78679"
"2037712","Dehui","Dehui","44.53333","125.70000"
"2037799","Datong","Datong","40.09361","113.29139"
"2037820","Dashitou","Dashitou","43.30667","128.51139"
"2037823","Dashiqiao","Dashiqiao","40.63732","122.50251"
"2037860","Daqing","Daqing","46.58333","125.00000"
"2037886","Dandong","Dandong","40.12917","124.39472"
"2037913","Linghai","Linghai","41.16528","121.36667"
"2037930","Dalai","Dalai","45.50000","124.30000"
"2038067","Chifeng","Chifeng","42.26833","118.96361"
"2038080","Chengzihe","Chengzihe","45.33333","131.06667"
"2038087","Chengde","Chengde","40.95190","117.95883"
"2038118","Chaoyang","Chaoyang","42.66223","126.02630"
"2038120","Chaoyang","Chaoyang","41.57028","120.45861"
"2038139","Changtu","Changtu","42.77884","124.09545"
"2038154","Changping","Changping","40.21612","116.23471"
"2038158","Changling","Changling","44.26532","124.00045"
"2038180","Changchun","Changchun","43.88000","125.32278"
"2038198","Chaihe","Chaihe","44.75980","129.67826"
"2038274","Boli","Boli","45.75279","130.57211"
"2038283","Binzhou","Binzhou","45.75281","127.47986"
"2038300","Benxi","Benxi","41.28861","123.76500"
"2038342","Beipiao","Beipiao","41.79194","120.77917"
"2038365","Bei'an","Bei'an","48.26667","126.60000"
"2038421","Bayan","Bayan","46.07556","127.39840"
"2038432","Baotou","Baotou","40.65222","109.82222"
"2038438","Baoshan","Baoshan","46.55861","131.42444"
"2038446","Baoqing","Baoqing","46.33167","132.21111"
"2038482","Bamiantong","Bamiantong","44.91738","130.52000"
"2038529","Baishishan","Baishishan","43.58333","127.56667"
"2038541","Baiquan","Baiquan","47.60605","126.08481"
"2038569","Baicheng","Baicheng","45.60746","122.82076"
"2038584","Baishan","Baishan","41.93853","126.41965"
"2038632","Anshan","Anshan","41.12361","122.99000"
"2038650","Anda","Anda","46.40202","125.31454"
"2038665","Oroqen Zizhiqi","Oroqen Zizhiqi","50.56667","123.71667"
"2038679","Acheng","Acheng","45.54545","126.97703"
"2038854","Yuktae-dong","Yuktae-dong","40.02472","128.15972"
"2039623","Uiju","Uiju","40.19944","124.53167"
"2040674","Sonbong","Sonbong","42.34222","130.39667"
"2040893","Sinuiju","Sinuiju","40.10056","124.39806"
"2041533","Sakchu-up","Sakchu-up","40.38944","125.04667"
"2042249","Yonggwang-up","Yonggwang-up","40.01833","127.45472"
"2042267","Onsong","Onsong","42.95722","129.99333"
"2042498","Nanam","Nanam","41.71361","129.68444"
"2042503","Namyang-dong","Namyang-dong","42.95000","129.86667"
"2042645","Rajin","Rajin","42.24889","130.30028"
"2042738","Musan-up","Musan-up","42.22609","129.20776"
"2042987","Kyongsong","Kyongsong","41.58778","129.60611"
"2043484","Kilju","Kilju","40.96417","129.32778"
"2043531","Kapsan-up","Kapsan-up","41.09028","128.29333"
"2043572","Kanggye","Kanggye","40.96946","126.58523"
"2043677","Iwon-up","Iwon-up","40.32306","128.65528"
"2043835","Hyesan-dong","Hyesan-dong","41.39756","128.17873"
"2043837","Hyesan","Hyesan","41.40167","128.17778"
"2044050","Hongwon","Hongwon","40.02528","127.95583"
"2044091","Hoeryong","Hoeryong","42.44278","129.75083"
"2044757","Chongjin","Chongjin","41.79556","129.77583"
"2045311","Aoji-ri","Aoji-ri","42.52056","130.39528"
"2047837","Songling","Songling","40.29303","118.26908"
"2051471","Dal'negorsk","Dal'negorsk","44.56039","135.57009"
"2051523","Bratsk","Bratsk","56.13250","101.61417"
"2055166","Sayansk","Sayansk","54.10880","102.16480"
"2056752","Khabarovsk Vtoroy","Khabarovsk Vtoroy","48.43776","135.13329"
"2056881","Markova","Markova","52.20889","104.21083"
"2057087","Kupang","Kupang","-10.17083","123.60694"
"2058430","Whyalla","Whyalla","-33.03268","137.56483"
"2062338","Rockingham","Rockingham","-32.27682","115.72978"
"2062944","Prospect","Prospect","-34.88241","138.59330"
"2063042","Port Hedland","Port Hedland","-20.31215","118.61059"
"2063523","Perth","Perth","-31.95224","115.86140"
"2065176","Murray Bridge","Murray Bridge","-35.11986","139.27345"
"2065594","Mount Isa","Mount Isa","-20.72523","139.49727"
"2065740","Morphett Vale","Morphett Vale","-35.13333","138.51667"
"2067119","Mandurah","Mandurah","-32.52690","115.72170"
"2068079","Kwinana","Kwinana","-32.23013","115.78128"
"2068823","Kalgoorlie","Kalgoorlie","-30.74614","121.47420"
"2070571","Gosnells","Gosnells","-32.08100","116.00540"
"2070998","Geraldton","Geraldton","-28.77897","114.61459"
"2071059","Gawler","Gawler","-34.60251","138.74902"
"2071223","Fremantle","Fremantle","-32.05454","115.75127"
"2073124","Darwin","Darwin","-12.46113","130.84185"
"2075265","Busselton","Busselton","-33.65249","115.34550"
